Query_number,Doc_number
1090132,113900
1090132,118365
1090115,469989
1090115,329990
1090115,408595
1090115,69387
1090115,250625
1090115,26913
1090115,22278
1090115,165019
1090115,282794
1090115,79938
1090110,82811
1090110,423911
1090110,174528
1090110,264673
1090110,317112
1090110,161047
1090110,187558
1090110,383314
1090110,332000
1090110,216271
1090107,114400
1090107,14684
1090107,458947
1090107,207608
1090107,190224
1090107,407453
1090107,75891
1090107,208852
1090107,338154
1090107,402050
1090086,287814
1090086,110230
1090086,423759
1090086,269042
1090086,301055
1090086,81022
1090086,213575
1090086,447978
1090086,223627
1090086,337908
1090077,365730
1090077,399512
1090077,386494
1090077,91499
1090077,247512
1090077,148341
1090077,271753
1090077,93143
1090077,89422
1090077,152862
1090072,472834
1090072,333790
1090072,139208
1090072,242012
1090072,257496
1090072,389867
1090072,322625
1090072,146131
1090072,144106
1090072,129024
1090054,275736
1090054,82448
1090054,388654
1090054,295347
1090054,412926
1090054,139542
1090054,420384
1090054,475848
1090054,486799
1090054,365398
1101259,64102
1101259,415751
1101259,197342
1101259,14067
1101259,132324
1101259,20293
1101259,116621
1101259,188056
1101259,430268
1101259,355646
1089983,476067
1089983,291617
1089983,274915
1089983,245650
1089983,182584
1089983,160329
1089983,244183
1089983,479822
1089983,414210
1089983,429344
1089966,294919
1089966,271753
1089966,18405
1089966,311597
1089966,68768
1089966,473017
1089966,64762
1089966,437441
1089966,84447
1089966,307769
1089964,405315
1089964,26166
1089964,391742
1089964,328598
1089964,410213
1089964,252051
1089964,308175
1089964,174477
1089964,307306
1089964,297940
1089940,264606
1089940,109051
1089940,250911
1089940,291801
1089940,355788
1089940,170157
1089940,40774
1089940,382336
1089940,59885
1089940,245241
1089925,216659
1089925,209890
1089925,138609
1089925,251153
1089925,35092
1089925,317801
1089925,217125
1089925,218220
1089925,474029
1089925,328759
1089896,353944
1089896,234942
1089896,41754
1089896,269758
1089896,486355
1089896,303559
1089896,289391
1089896,447532
1089896,68994
1089896,460595
1101236,462141
1101236,61151
1101236,468775
1101236,495079
1101236,287756
1101236,161999
1101236,363193
1101236,235050
1101236,386679
1101236,418027
1089868,405101
1089868,266225
1089868,387524
1089868,23678
1089868,69608
1089868,321921
1089868,272542
1089868,94889
1089868,111423
1089868,344399
1089846,154499
1089846,90762
1089846,374129
1089846,179562
1089846,481266
1089846,162618
1089846,369035
1089846,46491
1089846,245023
1089846,264827
1089832,164367
1089832,49101
1089832,25197
1089832,180860
1089832,91097
1089832,52828
1089832,26751
1089832,127742
1089832,192613
1089832,192980
1089810,333702
1089810,15389
1089810,489154
1089810,242845
1089810,289712
1089810,305412
1089810,328917
1089810,46805
1089810,167826
1089810,253388
1101228,412438
1101228,312811
1101228,380781
1101228,11440
1101228,47011
1101228,207239
1101228,276065
1101228,214379
1101228,469256
1101228,105616
1089804,285614
1089804,196480
1089804,130827
1089804,267857
1089804,434446
1089804,225167
1089804,414002
1089804,464895
1089804,251315
1089804,137588
1089787,403617
1089787,176588
1089787,275283
1089787,498491
1089787,407766
1089787,80521
1089787,482754
1089787,75483
1089787,122697
1089787,241763
1089776,193434
1089776,210817
1089776,442901
1089776,487568
1089776,33141
1089776,54828
1089776,345769
1089776,75563
1089776,327083
1089776,145854
1089763,249144
1089763,474029
1089763,323642
1089763,31934
1089763,430031
1089763,488179
1089763,328759
1089763,365195
1089763,224498
1089763,216659
1089760,66182
1089760,324894
1089760,294617
1089760,439284
1089760,139867
1089760,242852
1089760,67282
1089760,396179
1089760,63688
1089760,374976
1089719,394586
1089719,397532
1089719,96684
1089719,384995
1089719,255151
1089719,10683
1089719,251202
1089719,56162
1089719,57031
1089719,416013
1089706,91935
1089706,169222
1089706,317272
1089706,98816
1089706,225299
1089706,200230
1089706,469029
1089706,134840
1089706,310855
1089706,418817
1089693,470238
1089693,313120
1089693,310037
1089693,187398
1089693,221885
1089693,469353
1089693,230898
1089693,85245
1089693,226613
1089693,21460
1089691,487776
1089691,50738
1089691,167199
1089691,477434
1089691,496539
1089691,396976
1089691,185413
1089691,34823
1089691,169186
1089691,467515
1089688,353229
1089688,488741
1089688,51755
1089688,83880
1089688,422705
1089688,167036
1089688,113990
1089688,160385
1089688,333481
1089688,399085
1089683,324519
1089683,7774
1089683,347629
1089683,441129
1089683,289370
1089683,447100
1089683,181330
1089683,381858
1089683,251401
1089683,454048
1089674,209436
1089674,328071
1089674,11047
1089674,263574
1089674,255438
1089674,376344
1089674,26259
1089674,491329
1089674,51903
1089674,137470
1101214,489096
1101214,400887
1101214,78266
1101214,199777
1101214,330618
1101214,464419
1101214,34706
1101214,398606
1101214,396549
1101214,214405
1089645,212813
1089645,202434
1089645,485840
1089645,122406
1089645,150704
1089645,200134
1089645,146003
1089645,296429
1089645,103936
1089645,403525
1101211,175871
1101211,324625
1101211,161677
1101211,230957
1101211,348487
1101211,321004
1101211,276259
1101211,230375
1101211,243571
1101211,369581
1089619,107605
1089619,449835
1089619,317812
1089619,38130
1089619,303274
1089619,470891
1089619,203810
1089619,267074
1089619,498949
1089619,93078
1089597,87329
1089597,322855
1089597,350656
1089597,501473
1089597,456609
1089597,73180
1089597,432545
1089597,113244
1089597,133340
1089597,200541
1089576,216008
1089576,137774
1089576,418314
1089576,10568
1089576,332943
1089576,307158
1089576,6362
1089576,26848
1089576,342456
1089576,123542
1089560,107061
1089560,435114
1089560,304895
1089560,206339
1089560,195786
1089560,387406
1089560,382594
1089560,64262
1089560,205704
1089560,202706
1089541,108448
1089541,365316
1089541,77852
1089541,279679
1089541,335847
1089541,344394
1089541,51579
1089541,60268
1089541,169572
1089541,52042
1089511,51955
1089511,456002
1089511,486483
1089511,118899
1089511,336367
1089511,97319
1089511,55286
1089511,336344
1089511,260710
1089511,188607
1089501,185913
1089501,344604
1089501,488478
1089501,219575
1089501,42957
1089501,339959
1089501,276553
1089501,318227
1089501,13422
1089501,459503
1089469,396364
1089469,162725
1089469,479322
1089469,106495
1089469,244231
1089469,353475
1089469,242185
1089469,490602
1089469,421948
1089469,399006
1089443,204611
1089443,212051
1089443,222565
1089443,38834
1089443,294742
1089443,127858
1089443,432109
1089443,207437
1089443,106094
1089443,223767
1089438,267865
1089438,182875
1089438,58392
1089438,184827
1089438,295554
1089438,63896
1089438,488042
1089438,451905
1089438,428547
1089438,14571
1089434,451865
1089434,87903
1089434,342757
1089434,469
1089434,255437
1089434,337831
1089434,141929
1089434,496580
1089434,426185
1089434,272212
1089414,456717
1089414,8511
1089414,112058
1089414,173123
1089414,299369
1089414,241672
1089414,123309
1089414,361196
1089414,72989
1089414,412645
1089408,374700
1089408,352969
1089408,343880
1089408,65264
1089408,365089
1089408,190764
1089408,58667
1089408,483906
1089408,260523
1089408,112093
1089401,433217
1089401,485558
1089401,406992
1089401,225720
1089401,48582
1089401,280189
1089401,116741
1089401,476944
1089401,132416
1089401,39903
1089355,219575
1089355,318227
1089355,13422
1089355,246213
1089355,485562
1089355,431478
1089355,145854
1089355,139371
1089355,64764
1089355,109569
1089325,149268
1089325,177227
1089325,424229
1089325,340963
1089325,289101
1089325,398276
1089325,357864
1089325,56423
1089325,11560
1089325,455513
1089312,265882
1089312,78302
1089312,499043
1089312,217824
1089312,458507
1089312,280507
1089312,72478
1089312,466113
1089312,25947
1089312,408098
1089293,467307
1089293,99830
1089293,334524
1089293,375984
1089293,403726
1089293,422340
1089293,442785
1089293,230103
1089293,443024
1089293,99805
1089286,75035
1089286,433795
1089286,234860
1089286,77093
1089286,394158
1089286,255359
1089286,78812
1089286,501160
1089286,283923
1089286,217987
1089273,12456
1089273,151696
1089273,350014
1089273,221603
1089273,298712
1089273,190528
1089273,50960
1089273,25934
1089273,122742
1089273,131380
1101173,365669
1101173,16388
1101173,9180
1101173,290314
1101173,126802
1101173,496044
1101173,107661
1101173,498471
1101173,490054
1101173,158797
1101172,213627
1101172,325588
1101172,330546
1101172,253388
1101172,28721
1101172,395823
1101172,44985
1101172,360898
1101172,175055
1101172,137172
1101171,467629
1101171,125526
1101171,465724
1101171,419533
1101171,455646
1101171,26946
1101171,408065
1101171,424619
1101171,203045
1101171,109238
1089177,337373
1089177,171807
1089177,281881
1089177,271848
1089177,61191
1089177,25100
1089177,133751
1089177,349642
1089177,268469
1089177,326637
1089167,444963
1089167,488119
1089167,253590
1089167,453614
1089167,91826
1089167,65511
1089167,204008
1089167,430772
1089167,375675
1089167,38632
1089158,290931
1089158,97834
1089158,492182
1089158,11193
1089158,249099
1089158,115349
1089158,286733
1089158,256912
1089158,293886
1089158,440506
1089156,382431
1089156,490702
1089156,155185
1089156,466652
1089156,207918
1089156,215250
1089156,7735
1089156,371025
1089156,49062
1089156,117282
1089143,459798
1089143,370241
1089143,320692
1089143,93130
1089143,108745
1089143,54204
1089143,200784
1089143,120913
1089143,108694
1089143,2144
1089121,40203
1089121,295568
1089121,144017
1089121,5141
1089121,6256
1089121,371396
1089121,56070
1089121,255310
1089121,407556
1089121,257007
1089093,127232
1089093,222018
1089093,310193
1089093,187406
1089093,499714
1089093,358713
1089093,257596
1089093,78118
1089093,414696
1089093,480660
1089085,408240
1089085,430821
1089085,131285
1089085,386679
1089085,501118
1089085,220961
1089085,211293
1089085,130386
1089085,343035
1089085,31044
1089071,432658
1089071,179867
1089071,362869
1089071,122086
1089071,429474
1089071,417115
1089071,29215
1089071,442102
1089071,178422
1089071,276239
1089051,188047
1089051,196710
1089051,224422
1089051,459278
1089051,43090
1089051,407643
1089051,369455
1089051,333460
1089051,483856
1089051,64844
1089044,113480
1089044,157679
1089044,275560
1089044,100511
1089044,358525
1089044,182756
1089044,451758
1089044,351751
1089044,426364
1089044,135971
1089043,192217
1089043,465598
1089043,418979
1089043,92221
1089043,353073
1089043,140099
1089043,392567
1089043,358238
1089043,341409
1089043,154126
1089036,336884
1089036,297800
1089036,41251
1089036,112130
1089036,181282
1089036,211880
1089036,194211
1089036,453006
1089036,489009
1089036,405757
1089027,268320
1089027,127550
1089027,418303
1089027,277835
1089027,249894
1089027,359466
1089027,193846
1089027,191818
1089027,29130
1089027,389313
1089026,81045
1089026,463986
1089026,289108
1089026,349291
1089026,484742
1089026,293683
1089026,39240
1089026,431541
1089026,276121
1089026,447587
1089022,22023
1089022,144342
1089022,148665
1089022,137056
1089022,462142
1089022,45946
1089022,130332
1089022,472430
1089022,360333
1089022,393934
1089021,423888
1089021,242646
1089021,487170
1089021,375172
1089021,139371
1089021,318267
1089021,495542
1089021,38394
1089021,327083
1089021,307172
1089002,142808
1089002,44604
1089002,4390
1089002,305125
1089002,262517
1089002,167753
1089002,271233
1089002,495834
1089002,143491
1089002,487887
1089001,423534
1089001,112416
1089001,318734
1089001,32966
1089001,183010
1089001,478855
1089001,12441
1089001,72381
1089001,295612
1089001,17982
1088993,325011
1088993,204165
1088993,327713
1088993,30775
1088993,450712
1088993,432925
1088993,251367
1088993,212422
1088993,63000
1088993,320387
1088987,33455
1088987,28719
1088987,37177
1088987,364241
1088987,183959
1088987,419472
1088987,220035
1088987,316925
1088987,330652
1088987,258320
1088973,13752
1088973,234043
1088973,393134
1088973,172109
1088973,137630
1088973,321967
1088973,71947
1088973,163879
1088973,54706
1088973,54868
1088960,131748
1088960,26909
1088960,42302
1088960,485466
1088960,162689
1088960,24371
1088960,291887
1088960,378387
1088960,329102
1088960,54904
1088958,475693
1088958,478717
1088958,369518
1088958,391521
1088958,74122
1088958,371784
1088958,183652
1088958,113754
1088958,94204
1088958,156995
1088947,274239
1088947,77081
1088947,350237
1088947,445997
1088947,341729
1088947,452286
1088947,52220
1088947,299258
1088947,483498
1088947,317886
1088938,101851
1088938,39080
1088938,418120
1088938,350237
1088938,290028
1088938,501069
1088938,360812
1088938,341729
1088938,233960
1088938,164054
1088928,73337
1088928,456214
1088928,422725
1088928,355648
1088928,106866
1088928,274084
1088928,349632
1088928,335649
1088928,246593
1088928,106973
1088903,373491
1088903,424801
1088903,404499
1088903,88319
1088903,424690
1088903,359320
1088903,488742
1088903,252720
1088903,354082
1088903,395003
1088889,37252
1088889,283312
1088889,78028
1088889,60317
1088889,367338
1088889,408516
1088889,220892
1088889,398081
1088889,348077
1088889,120957
1088884,280882
1088884,325844
1088884,179102
1088884,467054
1088884,67073
1088884,85298
1088884,214882
1088884,78295
1088884,295530
1088884,386128
1088869,11211
1088869,333471
1088869,264192
1088869,351786
1088869,9205
1088869,276393
1088869,19402
1088869,487521
1088869,351468
1088869,212133
1088856,127114
1088856,453417
1088856,311176
1088856,76127
1088856,351039
1088856,464974
1088856,436010
1088856,324980
1088856,238271
1088856,491437
1088845,318498
1088845,487958
1088845,292820
1088845,405681
1088845,447509
1088845,397444
1088845,78592
1088845,202953
1088845,233336
1088845,335504
1088832,491043
1088832,478733
1088832,13382
1088832,421073
1088832,92712
1088832,411878
1088832,107222
1088832,101870
1088832,174186
1088832,100821
1088800,342198
1088800,65870
1088800,181415
1088800,340221
1088800,189067
1088800,162002
1088800,79586
1088800,413225
1088800,28667
1088800,193549
1101131,220189
1101131,182113
1101131,493796
1101131,340815
1101131,211577
1101131,81338
1101131,492956
1101131,304711
1101131,117450
1101131,443192
1102300,125407
1102300,231504
1102300,166223
1102300,113115
1102300,286470
1102300,32124
1102300,177111
1102300,201796
1102300,185717
1102300,306899
1088758,17784
1088758,295602
1088758,484300
1088758,10245
1088758,189701
1088758,323321
1088758,251022
1088758,360157
1088758,420275
1088758,481879
1088734,241173
1088734,44163
1088734,168799
1088734,464205
1088734,132814
1088734,107593
1088734,295203
1088734,67676
1088734,205248
1088734,120054
1088718,268414
1088718,149236
1088718,245689
1088718,228549
1088718,315673
1088718,53754
1088718,6524
1088718,7069
1088718,110409
1088718,163950
1088693,1720
1088693,360617
1088693,151452
1088693,75189
1088693,215955
1088693,136517
1088693,140331
1088693,38531
1088693,457079
1088693,232428
1101121,297704
1101121,7431
1101121,3243
1101121,305041
1101121,445277
1101121,112452
1101121,480329
1101121,190784
1101121,21218
1101121,160488
1088685,268414
1088685,363943
1088685,149236
1088685,245689
1088685,228549
1088685,315673
1088685,53754
1088685,146206
1088685,401711
1088685,6524
1088628,182661
1088628,76727
1088628,335788
1088628,81367
1088628,203527
1088628,353432
1088628,30571
1088628,8443
1088628,64859
1088628,460482
1088606,443637
1088606,324070
1088606,316349
1088606,5752
1088606,351857
1088606,44163
1088606,277382
1088606,9106
1088606,98222
1088606,84945
1088541,236786
1088541,485461
1088541,477608
1088541,351036
1088541,434450
1088541,234029
1088541,496477
1088541,370673
1088541,168241
1088541,271287
1088539,499825
1088539,24530
1088539,182661
1088539,76851
1088539,424826
1088539,155305
1088539,153669
1088539,322191
1088539,140767
1088539,230354
1088475,41478
1088475,399915
1088475,461414
1088475,400901
1088475,383421
1088475,294706
1088475,366549
1088475,5801
1088475,372381
1088475,487657
1088453,403452
1088453,201735
1088453,335368
1088453,221046
1088453,285832
1088453,276926
1088453,57034
1088453,14955
1088453,402507
1088453,212885
1101090,78339
1101090,289899
1101090,294919
1101090,365730
1101090,211293
1101090,38632
1101090,160473
1101090,372955
1101090,271753
1101090,223118
1088437,180151
1088437,402288
1088437,71435
1088437,44393
1088437,185742
1088437,18868
1088437,338055
1088437,433528
1088437,287077
1088437,302858
1101088,182661
1101088,398160
1101088,57855
1101088,152040
1101088,323688
1101088,479502
1101088,471065
1101088,303177
1101088,238249
1101088,477243
1088379,104082
1088379,221046
1088379,204819
1088379,377536
1088379,36443
1088379,495338
1088379,37529
1088379,206475
1088379,236695
1088379,362710
1088358,19346
1088358,136861
1088358,459568
1088358,400216
1088358,464748
1088358,256681
1088358,6302
1088358,54175
1088358,61974
1088358,112770
1088349,239502
1088349,208610
1088349,277619
1088349,255756
1088349,40515
1088349,461006
1088349,202536
1088349,331885
1088349,471057
1088349,408856
1088302,248684
1088302,197271
1088302,82881
1088302,83300
1088302,340051
1088302,255883
1088302,143860
1088302,479194
1088302,345788
1088302,245687
1088164,330114
1088164,404883
1088164,114122
1088164,288773
1088164,483921
1088164,383658
1088164,136861
1088164,53249
1088164,332086
1088164,437895
1088153,334744
1088153,76057
1088153,224702
1088153,106693
1088153,482224
1088153,469769
1088153,167752
1088153,382553
1088153,177312
1088153,104892
1088138,270086
1088138,139852
1088138,106693
1088138,178875
1088138,110548
1088138,323079
1088138,182661
1088138,78562
1088138,153669
1088138,293902
1088043,180249
1088043,133109
1088043,211407
1088043,73400
1088043,342522
1088043,280480
1088043,356624
1088043,194089
1088043,347389
1088043,191927
1087999,478677
1087999,337219
1087999,63677
1087999,222362
1087999,432144
1087999,41571
1087999,237996
1087999,400575
1087999,95053
1087999,150913
1087959,276363
1087959,190640
1087959,113444
1087959,446736
1087959,339445
1087959,355764
1087959,320525
1087959,460433
1087959,29984
1087959,306129
1101048,253589
1101048,39518
1101048,384867
1101048,421697
1101048,485534
1101048,147309
1101048,394886
1101048,54273
1101048,74025
1101048,242802
1087915,61537
1087915,346584
1087915,267092
1087915,334955
1087915,78571
1087915,369962
1087915,346723
1087915,392438
1087915,13147
1087915,383973
1087911,493729
1087911,176916
1087911,265767
1087911,500265
1087911,349977
1087911,194548
1087911,63686
1087911,6910
1087911,376228
1087911,125198
1087869,319570
1087869,452513
1087869,277987
1087869,457020
1087869,464231
1087869,154356
1087869,327364
1087869,52343
1087869,445567
1087869,226054
1087858,334507
1087858,10112
1087858,189144
1087858,280862
1087858,233733
1087858,547
1087858,444850
1087858,468633
1087858,344299
1087858,303675
1087848,207648
1087848,439383
1087848,36443
1087848,393133
1087848,218061
1087848,296798
1087848,37529
1087848,204819
1087848,446319
1087848,219452
1087803,156648
1087803,375402
1087803,139175
1087803,334344
1087803,242141
1087803,171185
1087803,200742
1087803,267525
1087803,276183
1087803,200087
1087795,203136
1087795,39123
1087795,117643
1087795,5433
1087795,104189
1087795,193876
1087795,288649
1087795,459043
1087795,493230
1087795,489109
1087774,376023
1087774,149073
1087774,211384
1087774,297127
1087774,204452
1087774,77564
1087774,79679
1087774,13057
1087774,430619
1087774,403812
1087766,97983
1087766,78224
1087766,395791
1087766,296998
1087766,495890
1087766,62921
1087766,348673
1087766,352796
1087766,143914
1087766,320497
1087736,77675
1087736,185261
1087736,482812
1087736,323002
1087736,230004
1087736,333625
1087736,377588
1087736,5204
1087736,400962
1087736,75747
1087729,192407
1087729,439990
1087729,14331
1087729,353053
1087729,416041
1087729,482350
1087729,269267
1087729,6660
1087729,171106
1087729,349622
1087727,111120
1087727,357521
1087727,66346
1087727,102989
1087727,470220
1087727,86381
1087727,463755
1087727,346654
1087727,330960
1087727,142587
1087722,252061
1087722,241966
1087722,160539
1087722,460659
1087722,53444
1087722,154182
1087722,165721
1087722,68273
1087722,70344
1087722,334119
1087687,141349
1087687,335242
1087687,153866
1087687,397697
1087687,220385
1087687,252749
1087687,475257
1087687,74540
1087687,168414
1087687,123437
1087680,422111
1087680,462078
1087680,73738
1087680,246983
1087680,382838
1087680,105363
1087680,415294
1087680,399518
1087680,245611
1087680,96647
1087675,465733
1087675,250111
1087675,440350
1087675,435804
1087675,12338
1087675,321958
1087675,447116
1087675,272693
1087675,415192
1087675,264579
1087634,360776
1087634,370538
1087634,436611
1087634,42905
1087634,452092
1087634,343952
1087634,73822
1087634,459562
1087634,434273
1087634,484912
1101018,186577
1101018,339392
1101018,255952
1101018,247492
1101018,312763
1101018,318826
1101018,205061
1101018,295076
1101018,375172
1101018,378502
1087589,185280
1087589,333962
1087589,259322
1087589,34609
1087589,7330
1087589,240302
1087589,56325
1087589,109164
1087589,19313
1087589,499446
1087581,207648
1087581,111943
1087581,258927
1087581,369392
1087581,281336
1087581,428711
1087581,152077
1087581,79097
1087581,269343
1087581,204819
1087566,393660
1087566,107551
1087566,212534
1087566,37871
1087566,496345
1087566,132202
1087566,232757
1087566,185918
1087566,161619
1087566,174539
1087556,389480
1087556,39325
1087556,188244
1087556,104082
1087556,203124
1087556,77086
1087556,448818
1087556,269762
1087556,221046
1087556,381649
1087532,174810
1087532,46375
1087532,63443
1087532,153027
1087532,145390
1087532,372582
1087532,158469
1087532,482165
1087532,185182
1087532,192413
1087514,225631
1087514,464822
1087514,178083
1087514,259356
1087514,269010
1087514,329525
1087514,417729
1087514,34468
1087514,146053
1087514,305123
1087492,277805
1087492,295858
1087492,393343
1087492,277303
1087492,31379
1087492,105861
1087492,171897
1087492,295424
1087492,67617
1087492,309695
1087487,272708
1087487,26450
1087487,494642
1087487,273575
1087487,381098
1087487,272097
1087487,25835
1087487,389797
1087487,161628
1087487,414177
1087486,166919
1087486,456828
1087486,295228
1087486,193388
1087486,222989
1087486,438988
1087486,110049
1087486,497409
1087486,230035
1087486,383311
1087484,367346
1087484,425591
1087484,132118
1087484,87811
1087484,88781
1087484,117642
1087484,367953
1087484,305214
1087484,78051
1087484,13802
1087425,43945
1087425,181002
1087425,377296
1087425,107479
1087425,381574
1087425,387822
1087425,370236
1087425,297179
1087425,106320
1087425,466525
1087375,383109
1087375,230208
1087375,78652
1087375,119324
1087375,83842
1087375,201576
1087375,153338
1087375,332859
1087375,140045
1087375,490381
1087361,370129
1087361,49635
1087361,324434
1087361,29215
1087361,462024
1087361,327883
1087361,439617
1087361,322778
1087361,381683
1087361,253167
1087351,125363
1087351,77103
1087351,226393
1087351,385221
1087351,103747
1087351,380729
1087351,39481
1087351,263413
1087351,392429
1087351,434669
1087327,391585
1087327,317257
1087327,387406
